indicator,2013,2017,2020,value,datatype
Acres of agricultural land-LA Foodshed,8046054,8011770,7964494,sustainable,whole
Acres of agricultural land converted to urban and built land-LA Foodshed,12599,10660,15577,sustainable,whole
Acres of Land in farms-LA County,108463,91689,57809,sustainable,whole
Acres of grazing land-LA County,231287,235826,239037,sustainable,whole
Number of Farms-LA Foodshed,23001,20308,18117,sustainable,whole
Number of Farms-LA County,1734,1294,1035,sustainable,whole
Number of Farms-LA City,26,31,,sustainable,whole
Average farm size (acres)-LA Foodshed,396,398,408,sustainable,whole
Average farm size (acres)-LA County,63,71,56,sustainable,whole
Farms transitioning into USDA National Organic Program-LA Foodshed,469,130,99,sustainable,whole
Microfarms-LA Foodshed,7675,7369,8998,sustainable,whole
Microfarms-LA County,446,510,722,sustainable,whole
Percent of Small Farms-LA Foodshed,87,87,86,sustainable,percent
Acres harvested in Small Farms-LA Foodshed,173266,167308,142844,sustainable,whole
Percent of Mid-Sized Farms-LA Foodshed,6,5,6,sustainable,percent
Acres harvested in Mid Sized Farms-LA Foodshed,156992,153007,155679,sustainable,whole
Percent of Large Farms-LA Foodshed,7,8,8,sustainable,percent
Acres harvested in Large Farms-LA Foodshed,1380895,1464320,1443227,sustainable,whole
Percent of acres harvested-Large Farms,80.7,82.1,82.9,sustainable,percent
Percent of Large Farms by Agricultural Sales-LA Foodshed,9,10,11.4,sustainable,percent
Percent of Agricultural Sales made by Large Farms,93,94,94.2,sustainable,percent
Farms with direct sales-LA Foodshed,2043,2330,2264,sustainable,whole
Farms with direct sales-LA County,168,210,105,sustainable,whole
Value of direct sales-LA Foodshed,45842000,44916000,218719000,sustainable,whole
Value of direct sales-LA County,3541000,2369000,1384000,sustainable,whole
"Total fruit, vegetable, and nut production value-LA Foodshed ",11387907856,12566318008,8146710000,sustainable,whole
Total market value of Agricultural Production-LA County,325880000,193097000,154608000,sustainable,whole
Honey Operations with production-LA County,18,33,33,sustainable,whole
Acres of Almond Crops-LA Foodshed,145288,158726,173996,sustainable,whole
Acres of Alfalfa Hay crops-LA Foodshed,281259,268436,272075,sustainable,whole
